schema_version,sample_id,blind_order,question_id,split,retrieval_strategy,k,sampling_stratum,sample_seed,example_id,annotation_guideline_version,annotation_guideline_sha256
phase03-annotation-sample-v1,0fcba01640d341e8d730ca40e3cdbd03aa83d6073364a9f40cd1493979f9c1da,104,DEV_Q030,validation,bm25,5,correct_document_insufficient,42,8eda8955cf724b37dfa28b2d87522cc7689c7894fa710499bc284b6a54b7a725,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,10c976d0b4b477e637ce55890c77914053c51be1e7a0cea7bd6f36432daaf023,88,TRAIN_Q119,train,bm25,1,benchmark_impossible,42,ccdfe3693a4b4a2e430876a99bd8e6ae8b0ebdb1f671cfdf7e1f8a82b3c16297,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,1230713d974761ba82ff3b60560571bfca1622342900709a8c72af5f9b26ca27,71,DEV_Q302,validation,bm25,1,automatic_positive,42,2a9a83d87b1b5771f0b5e41365d61bcd7a826254b42efe0df4a06fabb2f7ed82,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,144e7665c50512a9423d04951919fb0e29515c35b3968bb6119f123f58b74ee8,126,TRAIN_Q299,validation,bm25,5,wrong_document_retrieval,42,618561ef3ca5909339a50a77907914a3e1edd3125e4536403c5e746219d8bd54,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,16a5a89745fd6da92506041f30ce9f8149f9140bdc507cfaff817e30aaefd75b,121,DEV_Q305,train,dense,1,wrong_document_retrieval,42,09c53ecb8e2a3d28f195e679f5d4d4a9c82229c2d6f4011d0dcc585cfcdcfd35,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,1c8fe234dc44f02ee0175746c7ffa38bf1debb3c28eb6cfa9dc51a5b77e8672f,57,TRAIN_Q499,validation,bm25,1,partial_overlap,42,e35c281028513c60eab565f1ed19f0be1471914bcbab9dcb651a1d3367cd9eca,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,1f5055f9533e2cf244b2c50ddaf225a013a722a5ec34355ab57af3e3b2f8ef44,109,DEV_Q155,validation,dense,1,automatic_positive,42,6260c603b7b443e925b5f5e592655b71b4f1bd028fe16224d7c0017feba6c41f,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,20a34be45729da30769292b94b4aaa8c1425054a0b0aa3150891ccf4596d0fda,23,TRAIN_Q325,validation,hybrid,5,benchmark_impossible,42,671aeb4a26f906edf9d2bb8a5c0055ea30dc2b03d0342d187edba9f74813fc0a,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2273b1f047c9a64cda6679962b5c9eab08d9323eebed42fb0b7cae4c6509e598,75,DEV_Q008,validation,bm25,3,automatic_positive,42,f00bd1eeedc9a10221305bacd306a3da4c050e073f674077591a747a9c0344ea,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,237b7f4f9b6c99675eff6f7f614339fb6a7b31b6124a010d16b13b7e529af4a5,107,TRAIN_Q535,train,bm25,1,automatic_positive,42,e3086169342586e81b90c745fe02e5832539d1cae154916c4f56967798d82a32,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,242dadd12a3599df327df97521181101b6fac7780b1e1dcfe9f9295d76d93a41,148,TRAIN_Q093,train,bm25,3,partial_overlap,42,5c4aa2c03482f86189240ea5cb19e4eb14f6613f94cd6c127057513edc61ac25,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2480819fb7b8531352b61fd07daf10cc5a20a442256c4dadb275dc3db4cfe2b7,19,TRAIN_Q316,train,hybrid,3,wrong_document_retrieval,42,3a1999b6126816bd1b20953058ef3dac7b386c0696038673b6d29ad32c5b3198,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,24a8b43718d1936884f10acb2be6046cce03e47027dc4b64da03f1a552d6b313,33,TRAIN_Q400,train,dense,5,partial_overlap,42,25f4ab78f5f977681f8cb1a7bae04db3f56ce2103f31b73384b3ec23a4c3c8c1,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,25e4437dcbddca68aaf7432f0bbe43d311b9b63056d2eee2a2e60d29f4b2f933,111,TRAIN_Q501,train,bm25,10,automatic_positive,42,2537c8daf6f64b0a872cfeb53fb2ba121bb87c84f1051401166d58c5a5196a02,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2834a243aaa4fb59e047af2041721aea9d951da910759e10ebb133855b93779e,95,TRAIN_Q351,validation,hybrid,10,wrong_document_retrieval,42,c4a9d4b57412d2be0194f7c7ced0a6ef0fad6ace6875c6071775b882343ac68f,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,28b15564a11008a443d176d98f2dc8832e6abf73ca457a9705ab21647089dacb,42,DEV_Q210,validation,hybrid,3,partial_overlap,42,0d163aa8bd495f5fdeecf7ac526c56b5059b663ba26a7a452b3b96d1dcec4194,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,298a4c5e6a38740a2a6fa6ca17afe8760da21f7053b759415b50931ee6dab90e,112,TRAIN_Q049,validation,hybrid,10,wrong_document_retrieval,42,bb221e6c226bf28b209075c4b94edaccec6012e6dd612a2d7f6883b949db81a2,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2d52be16e05f4eefb4d9ce3c56f6216aa17d91c3eb9b6958f63cfeeeecda1494,28,TRAIN_Q441,train,hybrid,1,correct_document_insufficient,42,50074818724a2ad6603ed313136b589af461472de0beff9adcff6b030d3e3ecd,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2d6aa183cbcd635d66c12c7a757b1138d8d27c1b7b8a7fd69f3112e905f383c9,119,TRAIN_Q466,train,bm25,10,automatic_positive,42,73593ee36533901da639112950bbee1fa30dab64751b3a550d926a564c671d6e,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2ee352f80e22db95e90060bf04567038af342693f13b25050ccae6a517fcb51b,125,TRAIN_Q390,validation,hybrid,1,partial_overlap,42,97beed9f45b24b36633000ed77c93bfe1b21bc5b144527e01710539acfecd9c5,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2f8f077c404980b0eaa933a021081413ab7a8485faf0f938b313c1389f66cf81,108,TRAIN_Q554,train,bm25,3,correct_document_insufficient,42,27906f4400a08989e40587fbdf83dd906158ae89dc0d1e38d9dd59265e9c1f47,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,2fbcda23b9e630e339dcbb52f4ccb0c514035ffc47c385738e358c632c07ef10,96,DEV_Q254,train,bm25,10,automatic_positive,42,bc4b2f149bf73e8d11f79e139aa8a4b656b69b94c55f714aa5c30a4db1aca150,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,302348105301926a614e06ac229c33c75eb81b2dc61bc5e70b08ab19e9d0af67,44,DEV_Q073,validation,dense,1,benchmark_impossible,42,58ffd298a7179af27e1abe248172aa27fd7e070de6cf6f5fdea58c8550e55e8a,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,30c5b4d1e09241878b490c521c4478bf0b777d93a0502728b20f5e637cd65e61,64,DEV_Q182,train,hybrid,3,partial_overlap,42,c24ef139a1aca6b2c3b3d6dd115166159ade39d51407c96910c1e16df299fcbd,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3160e80e5bca4de6006775d4b97927798a44b899d3c0a3263252ed2898fdd146,103,TRAIN_Q107,validation,dense,10,automatic_positive,42,1bafee9aabac25a695516580f890292966dc18e2d8f8bc7aae2264d2f1a29d5d,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3272b0f10b22d84a57fe58b64348b206178b4915151672d24821b9ce292ad8b7,106,TRAIN_Q203,validation,dense,3,automatic_positive,42,2e55d7ec3710f465aff641a06530b30a55972429eb2cac81a7e4c216fe1eb491,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,365b757f1cecc559442a7bb96103f2839481d52406438579cc10279d1f0d137d,89,TRAIN_Q380,train,hybrid,5,automatic_positive,42,6b868e27a0932558a73dbd32f5253900893a84c7310099ff5137d8b26e799572,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3b742448d9c23a289f54b46029b44125cd0c29faaca7b4bf46be8e26a3c61068,60,TRAIN_Q338,validation,dense,1,automatic_positive,42,34cd09e42fe70abc2eb42f13f45e43972815fb9a2224ab86da8d201110ade245,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3d883d14ef5ee1bb1af597bb15c689115d87319e488c92b902e80ec76fccb880,30,DEV_Q160,validation,hybrid,1,wrong_document_retrieval,42,47c1b42d2f9fffa20ebeb98e7075cf14d6f86d8cbdde0542a4d83af905aead2b,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3da5a77b0c08931fa1799391b8b09aa0fee377fdd3f914bd4ae48917c40a82cc,144,DEV_Q171,train,dense,10,automatic_positive,42,10b5e784fc67dd16dd12f9ec2fd5aafb5599565b6db9828ed76493e207c57a23,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3db00a710397aeba937a3ee876c290a510a16206baba4d2c7467db42ef1b82dc,77,TRAIN_Q361,validation,hybrid,5,correct_document_insufficient,42,3638a95f6d268e6665513392f59ccacab4a1d5aae3d43a9694be8932e6362c76,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,3ffe6abac788bba15a3cae2f95d883c346329feb0a97e27a53afe3e6af052f1a,146,TRAIN_Q020,train,hybrid,3,wrong_document_retrieval,42,75ba4f44aaa483ab6198d220014771191e3847ea861c71c7143a3db03f4d9210,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,468553b7b3e3f1a79c1bcb7edacaf883dd04081ba231f6997e9215ad65dfb582,113,TRAIN_Q076,train,hybrid,5,partial_overlap,42,115879e41dbe9d2f417fe3f21399c493334ed4d7f2cdc53eba994fc0a8e835cc,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,4b1f5c380513e5a10213af712f2e6731e5c941164c03080e852aeba7cab9cc97,47,TRAIN_Q467,train,dense,3,wrong_document_retrieval,42,b79f411873ce9ea034c41263ea2eb7f60b00da2b8e5a093c6a270fa8142a2cd5,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,53bbf6d82744437d16abc319a22fd64a8bd8eca564afce0a81582979d73b8241,50,DEV_Q277,train,dense,1,partial_overlap,42,5f45bf4987acb3ebd9e35c6f3dc6c0bcfcdadd61f194a2c666691ad344a5d67f,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,5521c42b49bf08170b0188efbeacc23ae7985ed8766268e7df3bdb8c1376c7d1,1,TRAIN_Q172,train,bm25,3,automatic_positive,42,7d58b9f7d8c758440d345d36c086af0d507d0cea95a30484ecd536c41c9c191f,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,5551abe92e581faa47e52d1ebc1a5639f9c1ef73dbb2aaa2a11080bf16e3c976,83,TRAIN_Q285,train,bm25,3,wrong_document_retrieval,42,8f3e8fe4e4910d75df5230cb7964ea176b1d4d03b7d4bbb2b099e6a122560bdd,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,555a4fd96f8a7abfba3bc0d5b99273d1b9c3a09776493f564c88ffe48e5176ac,110,TRAIN_Q323,validation,bm25,10,benchmark_impossible,42,54e408679112fe9b9453dd1d8e5244b99bcae0a4b805d0cb8ba6dc94f6bd2728,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,559d583503d9f8ad8ad4ae160a4bec1629f9d8b7beecc68c864d4ab92bc001c3,16,TRAIN_Q588,validation,hybrid,1,wrong_document_retrieval,42,6450be3bb00f2ed4c28ef32107398ace7ff2f07fa11d91cb1087aadbc269b42a,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,598c0293085540c84b5e54be5aa4c213bb7191cc2bd47ad174cb58f135e3bce2,124,TRAIN_Q184,validation,dense,10,correct_document_insufficient,42,9cc52289202a4d9df487cb0cc53ce2b5a11746ee815a1fdb7711bdb4c904ef56,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,5a2dfe0ac7a6d5e4e951969f10ad92d4b1ed06b9c1fc040f3dfbf39ae39481a9,80,TRAIN_Q155,train,dense,5,automatic_positive,42,60d2f9a85a7ae1dee3c0112123e3135176ca2d3e1846484220a99b6f798b6f0d,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,5e210914173b35c9b71ffe7f0f6e5b04344f0eb49cbc2cdac30b4b8577713183,98,TRAIN_Q358,validation,hybrid,5,partial_overlap,42,e69e78319ff967f2408f3b9daa99cad27b4d978f7cb40a0593573db5b8d739ed,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,605d5d6b8afbb0769fcc8ba3655b3e594e57b6f84bf42d3e6cc6d7397f9cf5d7,27,DEV_Q215,validation,dense,1,partial_overlap,42,549ec45b6eb532fae71037bcdb360863e4a0f142091294888fc3bb082d8d8d10,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,6226e4ba0f2d017dda2fe47a7c4b112ce752ba824de27cffa9e2d65e86b35a86,87,DEV_Q124,validation,bm25,3,benchmark_impossible,42,4d19f59144c5bfdfeaaa839860ce76425d05b34661c67795fc4f9271ae33325c,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,62efd3740222ebb64d5defd30c2a06dc33460cbfe4953a10683895257d88574f,133,TRAIN_Q398,validation,bm25,5,partial_overlap,42,bfc8d383bde1a736c13f8bc9d32ef19d9f1091fbba8baf53a936f525f9b54c81,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,6369dd1c329ab6453f4701de97fadf9e6289e6ab0b23bf84bcbdf0b7b40e37d3,20,TRAIN_Q038,train,dense,10,partial_overlap,42,3ffb991fdfa99ffd7ef05cc005b160ca354a6ad6403442223e897322164484d4,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,64302a9347789188931d4ff69cb084fd4811c03a548586870ded6dd5b3f7a382,49,TRAIN_Q150,train,bm25,10,partial_overlap,42,721b5d08d189226cea268a1764398b4b59651f5dad7fddc38f2d17e64d0763d6,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,650992cfed4694e19c3c1d8c5a0b24ce655ef3a9ac362cf539b9112e0b935e92,129,DEV_Q202,validation,bm25,3,automatic_positive,42,277a3400ca66cb0519b3f6bb2e2e9aee68f5f2335496b6d1a943709552111dce,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,67c7ece7d99eef37773ddb38d9bde5eef518af86efc74e9e30bc35b6f910a342,10,TRAIN_Q420,train,dense,3,benchmark_impossible,42,049870656008c4709d04438651f0e36e23a3b1266bd806c36553a235e7247402,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,67d1ce5d83d5555391afdac9073b0ffcb713dc3693f89ec63a0cbd6469900b1f,5,TRAIN_Q224,validation,bm25,5,correct_document_insufficient,42,c63ac014afe93d1396703a62ea79010c477e6a2be61c125f5cf72ce77612004d,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,6808a9ecf4172b4c41ae837ecc91549c8a52702bb9ac958ab30cfebc5bda6269,94,TRAIN_Q108,validation,hybrid,10,partial_overlap,42,097135f652cfd35a60e800a5ef46b7ef2ed15b20a0779383773051ad84a5cc07,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,69eeb80d454e38ee651e30a60193a0f6d3d80ebe00169a76ff3e9b71086dd978,127,TRAIN_Q258,validation,bm25,5,wrong_document_retrieval,42,271ca3c77309192582ae3d40d09eddc63ae23b7afe93b782e774e35ff5082692,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,6ae3abb63ad416e30ac41c33ccfb16f48b6b4ded0128d07550a71562da2ec876,22,TRAIN_Q388,validation,hybrid,1,automatic_positive,42,eeaf1802c0c8fc116e2ae55118f62406d29ae8b878b2b97ad86e6922761e158c,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,6b9d15f90414c9e250c7e0970699a261667cca8fe7cfd7d8c25cbb2d2167a3f9,18,TRAIN_Q014,validation,bm25,10,partial_overlap,42,8125554312d9f164b8e9b0e25214a3eea8bca4d61f8f705e8728e49133074781,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,705eabe184856ae05b2ac9ebc8853e2f60c4ff883351a03cefc12900d16700ee,116,TRAIN_Q553,train,hybrid,1,partial_overlap,42,fa549228ae0754fd2c9620713e23ca14d156b5ebecc87edc1b1e8c2ffb9f2afd,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,70c041a4abca13f9f9c6744aec8793ca04ea0168f4ac455b14bf2b5d8478adb4,70,DEV_Q166,train,hybrid,10,benchmark_impossible,42,c23ae7b186c95885f0e163fe77671ef2a814d154fd4d60b0d774b7ddaa923d83,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,70d2e344a5a5fdf7ea1fb2f6a977992123e3738b5159bb471eb291f5cdff1c3d,84,TRAIN_Q583,validation,dense,1,wrong_document_retrieval,42,91d88f7a883716103416c596b80770dac20bde0244c687401a9e24039533026e,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,70fa175ade30f421bc6839386b2045c2d01c2a3c6724c2de25114abdf30a76f8,31,DEV_Q237,train,hybrid,5,benchmark_impossible,42,fc2c3b7f336c4fc6188f3fbe9ed506d2eeeb19f9c32ee9af0f3a856bc9568d4f,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,7139bbd1956f639fccdc8e1cdf3d97cbc93b068df3f805b8c1f77750bd6ff7d0,143,TRAIN_Q414,validation,hybrid,10,correct_document_insufficient,42,7cb1c4d65e9a98551820c1d9b14597de3059c5b2e5e9074435ee32e86ddd7a57,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,725e996b8acc4cb8812410bade7834750fcd734472235dca41f790d887a142b2,62,TRAIN_Q438,train,bm25,1,wrong_document_retrieval,42,e6458596a73e32d79858aafee13930bd779442ad94f54eef83b05d18dadaf1f3,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,7406d79cf0e3232c9d5f4e68164d269667998f28c40b3bf82c4f45b38eb1b2d7,128,TRAIN_Q101,train,dense,1,correct_document_insufficient,42,7f399ae4419ec2b6fad9aad57a72184fd47d43cb55318e7b96992491af9cb51c,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-annotation-sample-v1,785b2335c0f1e377a1a9b7eec54868b321ea5e9c4f76c7bfe7faf124b7274b9a,82,TRAIN_Q374,train,bm25,3,wrong_document_retrieval,42,a7f8c9728fd7d4c7c0c8d8339dcdb15edf9a598893f156d7c6951face0b276e8,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
