comparison_id,metric,effect_name,effect_value,ci_low,ci_high,direction,experimental_unit
B_k5_fully_supported_response_sufficient_minus_insufficient,fully_supported_response,risk_ratio,1.396276595744681,,,sufficient_minus_insufficient,question_id
B_k5_fully_supported_response_sufficient_minus_insufficient,fully_supported_response,odds_ratio,1.8465909090909092,,,sufficient_minus_insufficient,question_id
B_k10_rouge_l_f1_sufficient_minus_insufficient,rouge_l_f1,mean_difference,0.05709152580008184,0.01594224415459346,0.10053784140529258,sufficient_minus_insufficient,question_id
B_k10_rouge_l_f1_sufficient_minus_insufficient,rouge_l_f1,median_difference,0.05197764621823006,-0.01949319523714239,0.10026710499280875,sufficient_minus_insufficient,question_id
B_k10_rouge_l_f1_sufficient_minus_insufficient,rouge_l_f1,cliffs_delta,0.23951781970649896,0.002671451355661892,0.4707913494551424,sufficient_minus_insufficient,question_id
B_k10_bertscore_f1_sufficient_minus_insufficient,bertscore_f1,mean_difference,0.01686346821440088,0.006361064271025094,0.027133140876879566,sufficient_minus_insufficient,question_id
B_k10_bertscore_f1_sufficient_minus_insufficient,bertscore_f1,median_difference,0.017631113529205322,0.0053479671478271484,0.03158646821975708,sufficient_minus_insufficient,question_id
B_k10_bertscore_f1_sufficient_minus_insufficient,bertscore_f1,cliffs_delta,0.3385744234800839,0.10306155522453937,0.556604023160627,sufficient_minus_insufficient,question_id
B_k10_unsupported_claim_rate_sufficient_minus_insufficient,unsupported_claim_rate,mean_difference,-0.09755415793151642,-0.24837549483178142,0.04954000150099436,sufficient_minus_insufficient,question_id
B_k10_unsupported_claim_rate_sufficient_minus_insufficient,unsupported_claim_rate,median_difference,-0.04999999999999999,-0.4,0.25,sufficient_minus_insufficient,question_id
B_k10_unsupported_claim_rate_sufficient_minus_insufficient,unsupported_claim_rate,cliffs_delta,-0.11844863731656184,-0.35581140350877194,0.11785786875725898,sufficient_minus_insufficient,question_id
B_k10_fully_supported_response_sufficient_minus_insufficient,fully_supported_response,risk_difference,0.04612159329140464,-0.1695567746429814,0.2565659888357257,sufficient_minus_insufficient,question_id
B_k10_fully_supported_response_sufficient_minus_insufficient,fully_supported_response,risk_ratio,1.1037735849056605,,,sufficient_minus_insufficient,question_id
B_k10_fully_supported_response_sufficient_minus_insufficient,fully_supported_response,odds_ratio,1.2037037037037037,,,sufficient_minus_insufficient,question_id
C_fully_supported_response_k10_minus_k5,fully_supported_response,paired_risk_difference,0.011235955056179775,-0.0898876404494382,0.11235955056179775,k10_minus_k5,question_id
C_response_contains_unsupported_claim_k10_minus_k5,response_contains_unsupported_claim,paired_risk_difference,-0.011235955056179775,-0.11235955056179775,0.0898876404494382,k10_minus_k5,question_id
