schema_version,sample_id,blind_order,question_id,split,retrieval_strategy,k,confirmation_sampling_stratum,sample_seed,example_id,final_target_config_sha256,annotation_guideline_version,annotation_guideline_sha256
phase03-final-confirmation-sample-v1,a315649755c218778a2007474590dbd6a1460caca6cd3bdfc8267b2d669f6115,12,DEV_Q023,train,dense,10,strict_positive_retained,44,7655d80eb7511953d638cf35fc5583122f7c0bcb2b2fa23edba56e5648e131fb,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,5b6df82c7e3b5cf32df5c7a094a04900d52393cbf354078e76957cd1167becce,13,DEV_Q187,train,hybrid,10,strict_negative_not_rescued,44,3c497cbb30bce341117588f63f13beb7135d09397d4b3eacf1c7321d936d286a,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,c0df379652d8db6ae04ced9b8d1a8c70e6c25cb159cd138a076c9aaa51f2743a,14,DEV_Q306,train,dense,10,strict_positive_retained,44,cff3b1e5c629467825300d41e361c9d7e62f859a424e05119e5996fbb48248e5,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,48d23321968606840c7b98c6a58b1e794acc34da11c850e8c1d3e657f6796e82,15,TRAIN_Q041,train,hybrid,10,strict_negative_rescued,44,75435a6065699ec7d1aa84de99f902360528cfb685130ea955595983272f7955,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,a3f85df3548288bc6ccff69c302874c6d7e17f3fe12f53e24fa503dbab8e59d9,16,TRAIN_Q423,train,dense,1,strict_negative_not_rescued,44,9c674c802cd95c2851e4214cb591b1e3dcc9b9aa6a02290a05b56390d6718be9,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,7c0ba6a27162e8f8c90271d24eab44a90a1331e1379052312f5f875c061e62a1,17,TRAIN_Q098,train,dense,10,strict_negative_rescued,44,f896ddd3372ec18d69e2dae1b8216f0a7471ff6e96edcd0cb3acc6dcc7bbb018,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,3ef9d95c04361a2cc87bb2bbf52aaac0d47bd61a3839fa02c281a330869546ed,18,TRAIN_Q496,train,bm25,1,strict_negative_not_rescued,44,9f6f7446f10cc18264e289f63628f69f37dbb54422bbc880df09fc6e44e49513,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,52be51d4811523441343be1c63e01fd893ebae23a5d77f7de73a617e37f197ef,19,TRAIN_Q463,train,hybrid,3,strict_positive_retained,44,e779a840b6f2bb58733001cdff506cf3ffc2e96a12bf81decbd190f7a39f7feb,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,2bb8c330dbcb967bc13f17983ec12f17029431d6ea29d0fbc2fce9d7d7c0d6f0,20,TRAIN_Q198,train,bm25,5,strict_negative_rescued,44,806790907ab86249809d11e09b753e6ac5446b60f764570d697d33915b541393,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,825d524338bd7a40a18c42bdea6bc7c33424c5e9a36ae5103e57bd0a0c2089dd,21,TRAIN_Q001,train,bm25,5,strict_positive_retained,44,7f1afb60004e2e3a69d98142ed89f24d7966cc58e17294acd65e38cea67c8cb6,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,ed6fed40ab4c13a34e0a98c9fb3c9167195a383e1c77c5b4e15cd2d79a331086,22,TRAIN_Q232,train,hybrid,3,strict_negative_rescued,44,ebfeab76feb7452da1b68ec83e9edb0a545baca09200f0904f02c03b493ada09,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,2686b4c29b8fa466cb909fd582ecd7a06556b0bb32838ece02572a475a916378,23,TRAIN_Q572,train,hybrid,3,strict_negative_not_rescued,44,c22af5560c431b469314072232e6847a6bd570a8197df9e1365e266f451b53bd,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,2e45644a63dce50c4ca5250d2e1620539a176bd0e965e1871ba5d9bf50e40309,24,TRAIN_Q070,train,bm25,3,strict_positive_retained,44,42941bb098b8cd32264c0c5061c8dd16029c0f179c0d8ce37a54c6e71c274fd8,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,2569fdb65ab7046a2a02a155c2439f074a03d0564c3c7afa8dda70f066881888,25,TRAIN_Q262,train,hybrid,1,strict_positive_retained,44,f43954563e27a7a63ed77717fccf22e4cce24b7b33caf6718f2ba6c5eec13998,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,1a7fae90f7a6a30314f3811ad916b93963a4515d07ae2a4d507d0bba5d030d60,26,TRAIN_Q129,train,bm25,1,strict_positive_retained,44,e10810e115674620dc00f80c51bc1bb479b761b5248f2a730f2a2877dea8913d,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,b6c1353573fa0c6ab1f5a950464373c5f1ce7d3645b1e63dbef740fd2de8baf7,27,DEV_Q162,train,dense,10,strict_negative_not_rescued,44,0fced2a200708a21c6605a4e42b82b1d32ca82f975cd02636b8de9275cc97609,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,b06af0add95d6bd1efb1de9920a8d3a48d8075a8e0548c64bd9ac99cbb6c1574,28,DEV_Q011,train,hybrid,5,strict_negative_not_rescued,44,09130a63d9f229d1005a7017c3e2c66b75f990cf6923d7fd420d28b87652d5b9,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,49e0a57a03e9e54a6828ecb053c45a79302f2bd42a30cf0e8b77c63634fcc8ca,29,DEV_Q016,train,bm25,5,strict_negative_not_rescued,44,c9c02be0a765ad7235c2217581fa757a9cd444d8c68b0b9db387a2f8de6673e5,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,89a79e5f440012ddbc88a15930415928a62b4c152941ac89b9a3626df712273e,30,TRAIN_Q141,train,hybrid,10,strict_negative_not_rescued,44,94de4aae560c8ec9d9b0b13c331f4b5b570fd1a1611cc969bdd52067e151def6,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,241816bea8ee5d2fb86e16edbca7274c1b236bc34bc27082a352053116342272,31,TRAIN_Q448,train,hybrid,3,strict_positive_retained,44,ef24deef2be2cbe006f95c078a73725b67c0079907b2d098642cf21baaa4992e,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,eb3022d7679376de36d6d2873a4412c6082b4a48eea9fff18a6f6863b13eacf6,32,TRAIN_Q500,train,bm25,10,strict_positive_retained,44,4a473f5090666f892e4ebd4232abccc9f532f6412ba2b919ea4a74a96c8aeafc,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,2fb74716948551303c722b6fafb8e811ddae58fb2d4d55c1523c8be6cb4b8906,33,TRAIN_Q103,train,hybrid,1,strict_negative_not_rescued,44,e4b17685b5873f5f396ea84bfdd99eff58182f2b60dd417bf6f5dde737a04baa,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,d22e33c905fca80ca1381a3c6634927c99d1f4bde819b9992f6df1e89f665b30,34,TRAIN_Q569,train,hybrid,1,strict_negative_rescued,44,acfacba189ac19f5f1d55a4ea0c9df291c67ceee2f42cc915f3322d74283fd10,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,55e2e52dc1c023a0b3885feabb4a52a9e08dbb6118273072b5fdc60bcff69ee9,35,TRAIN_Q586,train,bm25,10,strict_negative_rescued,44,8bdcb2ceead6711540f0666a724a5f2f059069a8eba6d8521822a788866c26f0,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,4d1034f401901c45b9bf193772b2b7f5555f9028096fdc9fc152319de89fd837,36,TRAIN_Q216,train,bm25,3,strict_negative_rescued,44,eb889deeac37594214a9ab34abf358f0e8be8eb87966e8554376caf3b36b6fce,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,d05e235237465034aa0c59601f87159203e6314d6f7a4eefcadd9ac942e3d727,37,TRAIN_Q376,train,hybrid,10,strict_negative_rescued,44,b9988a4cbbbdf5cecd88decbe00e166c17b6c5ef9ef213e980077af7c005eb95,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,dc23db560f74a52a128dc0b297aaaf18955927e9374b9ff4acbf7f2551e1cff6,38,TRAIN_Q060,train,dense,5,strict_positive_retained,44,0e5363262cfd10c6e12e2bd8a073f6a6345f81614d480c610e7db170039e07ef,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,40140947a6d99270ba5b6d3e246fe365cbfbe1cb4e9fe6b4fd86dc0daedb56c7,39,TRAIN_Q204,train,dense,3,strict_positive_retained,44,b6bcb1371e1c65819acc7970f07113c738e44a1f3b66585b9f329be14cbab502,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,b6ec0c7521b0bcf23cb4215014e6978fc2df64e229ff7939afdd02dc147d8803,40,DEV_Q121,train,bm25,10,strict_negative_not_rescued,44,31ab15975efaea47ba7f1b12f94da265597a34275a2ed731e9acdc8a50878df6,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,3e81ea15d015808f8a1c77d3b596029873710eeae67624bb030134aff6ec0654,41,DEV_Q025,train,hybrid,3,strict_negative_rescued,44,98088f677a331311ded489f96c203c7a2a46b5400de58b22d6cb18e03ef88937,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,a4e1a2f41afd257eacd2948adfa4c85e422dd4a10b688701883cd20403dac178,42,TRAIN_Q106,train,bm25,1,strict_negative_rescued,44,8e055b02c438eb4a688a86895a4774e1cc8044661dc0a12288007d7586776ead,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,33537c13aba95bb3bd40d6e11f853cf21684df293683d36e3609d534e356787a,43,TRAIN_Q140,train,dense,1,strict_negative_rescued,44,b7ac599526c764e474d3d89798cac7927847fcdf7b6dc467a7dd4ad0d6af7dc3,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,268a6cf5b0c2977dbabe1ea7c282f23df25bac15b5e3376b772bb32ac5d27183,44,DEV_Q012,train,dense,3,strict_negative_rescued,44,5061e02949f275ac66414336f7bf881ff6b0956fe8a5416844839a35b5f243c9,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,aa058f987144d976bdb38dd075fce8d9b688e3ab0b95743aa0508c1db4a9f110,45,TRAIN_Q122,train,bm25,3,strict_negative_not_rescued,44,5859b0bb31c3ddb23c87dcb1aa8b358b2393b55b1baeecf448da9a84f7699212,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,35a0c03a6698b8181c7f070d0057ee4a057fadf3ef4ed7e6fe588f406aeee502,46,TRAIN_Q064,train,dense,5,strict_negative_rescued,44,f5153a049ce8aaa4592120658967f65573b237b91b50dc4a0e140ae55ca89277,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,f09601183d598c937b722d27fb7ab0926a786d1a985a5dabcc3bce7f88f7e636,47,TRAIN_Q240,train,dense,5,strict_negative_rescued,44,b54e4c2b94e5563e25bf0b83f4f329eef2a14256b2a7dd27e7394da2681e57cc,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,3e7a3601f731100660e068f442e120cda21fd31128fe79fa5ecbb7048b1517e9,48,TRAIN_Q449,train,bm25,1,strict_positive_retained,44,52bc8a001ac9cb58ba3994ae4c70ff0883011980888506755edb1d3330c367f6,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,7e72197b634ec5eb60a0838b8822b423f069c2ca1ec15f1d70b64163da042fae,49,TRAIN_Q494,train,dense,1,strict_negative_not_rescued,44,7f8c91bda2014587448183c16d1493dd9683acdad9102fc75ecd1b07324349f7,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
phase03-final-confirmation-sample-v1,de8d2ffffd8a55cc58fe3c876b6b95abdb405a63088f4d6cfa5a481c6668aa38,50,DEV_Q089,train,bm25,3,strict_negative_rescued,44,3683464edbde877d1eb8fc363a87d588130445c95ffbcc5021b781e0c9b96cdd,5b9a394e5e97776844054f3282af815462148adc62b528c77245d61707406977,phase03-sufficiency-annotation-v1,f2fe3f7f29b834d78fd7c79bf4d4a94faee43c658d89c48e386854123066802b
