schema_version,dataset_revision,split_group_id,component_size,member_question_ids_json,shared_gold_filenames_json,normalized_question_hashes_json,answerable_count,impossible_count,assigned_split,split_seed,split_algorithm_version,component_sha256
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:036ed180509a233f567ccd8e2bfa8c4e71164c803deb33a44bf73a858e9ebf5f,1,"[""TRAIN_Q380""]","[""swg21981880.txt""]","[""f955b6dd07d5ea51b8ab5be3c3f474fdda66bd9466494696dc46a9e792d1b9ce""]",1,0,train,42,connected-component-lexicographic-milp-v1,99beee00eb776572e6bd8f3e1221fff78ffbb3d0ea7f0a5aed39c3cf71fca323
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:03a074620b19fd07929c79500b52ce0160857a6ff1b1eb7eaefe820785ca9fc6,1,"[""TRAIN_Q297""]","[""swg21695676.txt""]","[""6f6633fa12617796afeb49bb5b22b6346bd84a2d0be0ce630a9f9a37ce2e5a5b""]",1,0,train,42,connected-component-lexicographic-milp-v1,c200570d8ad2f854384621108cf1526ee438daa8385195e677a8e1057562ad6d
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0407db82259209854fe35068c66771bcb173e6977acf6bb82cf86c356274dd2f,1,"[""TRAIN_Q546""]","[""swg21424808.txt""]","[""9f2a394519d4ecf80de5e9b4a5bcb56dae9179c8d9e1e42268f0c4a8e59e8241""]",1,0,train,42,connected-component-lexicographic-milp-v1,aa6b0af01c08760cd7975b10b6f04767d40cc7483dd1c8d2020ab53f76e48f5a
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:041c0755b534fe71e74f206a8734202ed4bfd1a717cf98ceb1fab4735f77f4ac,1,"[""DEV_Q216""]","[""swg21480262.txt""]","[""88238cb50828dfaf751f93cf450ef46bc6254fcd99e395ad8f19c34e3a967476""]",1,0,train,42,connected-component-lexicographic-milp-v1,299bccea7f6be9a884e30133a2eb88f2fdad88e3e5a5fd9465e31ad412efae7a
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:04988be7ae5fd745f174004731faeeb2230a8a24938c3c6a904d3cd512e18dbd,1,"[""DEV_Q102""]","[""swg21965783.txt""]","[""c6e40a25c22c002c1093a08dbf6b8b3d9beeebef8f4d1da7e9106b05ead945cd""]",1,0,train,42,connected-component-lexicographic-milp-v1,a5ea5824b756361c7dda577b224f4041ce4ec0bccd3dc5cc651fddb28c3f8f57
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:04cf5d1bec64723cf05dd0e84fc31f71ffab835fae7046a7faf37766af5fde94,1,"[""DEV_Q115""]",[],"[""aacee3ed2df58b9b726d7ca942edaa7038f6522d60a9f169185ba18c688d3f57""]",0,1,train,42,connected-component-lexicographic-milp-v1,08f9377cfec8be88878a1a634f3f5c9ae9fc75dd7a45920467a7a1210482937a
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:05a4d74f5b64565b3a9fc7fc9d11489a7e79778a4ef0fcc450e96243edd716ec,1,"[""TRAIN_Q595""]","[""swg21260155.txt""]","[""9ca28214616a55c203a1ca82c706908dc7816ad4026a8700f0a88bd5705e3945""]",1,0,train,42,connected-component-lexicographic-milp-v1,391513e220480a3eac72ede2215c0e5993ddca250fdc772915f23eef747ee00d
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:061910582aee086d552f348465a4c154012a7614c2fb3a7d90d1827e4a7473a0,1,"[""DEV_Q238""]",[],"[""8d5ea3a664425703cffa4b2cec5dc4d3b5bcacc683f18656beea9dcd78bf07e5""]",0,1,validation,42,connected-component-lexicographic-milp-v1,a1cd3776c2c732c3c8f5fff34532a671704cbcf3b3be1348484f1b7a9d883fd5
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:061b2fa1bbbd54049d11ca551016e186570d039c4b386ea45e3734777dfcf9ad,1,"[""TRAIN_Q434""]",[],"[""5cc1f441c2ab822cc1d5c9c923631eb75703a7d7a006e1b9da59948430a3cee0""]",0,1,train,42,connected-component-lexicographic-milp-v1,c2fe87c2a956e28849cba5366d4c1f1188459880b3a82bf21617a6dcf546ce97
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:066c2994ae8bec6c907f5560d5406731855344af3bf06b595f1c12ab06f741d4,1,"[""TRAIN_Q400""]","[""swg22005415.txt""]","[""79dcdb4acae1ba98ff808559d7f8b2e993c70dcaa8b4b269a74af5cd3001a5df""]",1,0,train,42,connected-component-lexicographic-milp-v1,40ffaba57a23e254c9ee038819cf3215e0d0eb7f234cf04cb8a92133757ef130
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:06bbe8a67ebef99cc4ce70827a8412aa2b7f3d97ee8b9ced47a21c88179eb377,1,"[""DEV_Q178""]",[],"[""93d9d08250a53562962739b3ec4d8b1224521697c4535dc57a3405b83293e808""]",0,1,train,42,connected-component-lexicographic-milp-v1,f6404729e4c9401fe1a79917b8d58f9553028b0a2238d9688aba936535129b42
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:073edee1dd5091c0add3c83c0c293a247ca734e7dbce6ac8ffec79290f40330e,1,"[""TRAIN_Q568""]","[""swg21419230.txt""]","[""efa6754c18fe795f9e09a1142c6eb73058fb28ba38b7c3f67dd1cb9d2eaa21cc""]",1,0,train,42,connected-component-lexicographic-milp-v1,39ff51be92eb01adeddfdcd7ce014be99f511ce6120cf90398a159deff668392
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:074c2da30f58c471e7ff38249f2a9e48b47e61c09f32de5eafa373a70b6ac3dc,1,"[""TRAIN_Q520""]","[""swg21620875.txt""]","[""9992d20fbf93ad8607fe3f59e073d90ef2f5a0e7aa90871546bdcded1f3f4a46""]",1,0,train,42,connected-component-lexicographic-milp-v1,090e9a95e1164c8428ab1a1006be5e3bd2900348adabf5e501e2fa5777634ee0
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0753c77c546ccdde6762524094ba3f5ca3f27b549e63e94313c308e915d56713,1,"[""DEV_Q017""]",[],"[""665fa12f1242ca7cfbbff3037bde0e99829af5e4831bfb8baa96e5fce135cabb""]",0,1,train,42,connected-component-lexicographic-milp-v1,16925713815333a45e411168f09cec4f95924d3618287cf713523d86301c6a12
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0828045672838f2bfbc347b06fbfb6975e1915235741b3665aed5db21d07632d,1,"[""DEV_Q174""]","[""swg21658019.txt""]","[""d5f4ff787503b86cb28cd10f4a1dd619df88658921a4069501ac340e51ca1270""]",1,0,train,42,connected-component-lexicographic-milp-v1,b84b209c7d4ac2c824e000d2313b9603be5a0c0e663b2f6176a935eaf9d8a78a
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:08e218b6e9c8c0332daa27c6a50f567ab1f6d388ec7ec2b5164feae87cb203d0,2,"[""DEV_Q033"",""TRAIN_Q203""]","[""swg21269136.txt""]","[""3f87ff9961030a5138eec4cfc7e991c8e8efb38b247dfd011ff47fde7a8d3cf6"",""8df24d01ebbd3e9c8c2953bfe4851bf2e8514edc6508cb32622bc480aaf72af6""]",2,0,validation,42,connected-component-lexicographic-milp-v1,41cd00b0b7c7a2dab843c48d8078d9a71280ca60eb8651ce45d9023fb566a1ed
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:091195b40eaf6159448d2ce8a57c3d890155f427ee2c4e876135ac86bfaa0b95,1,"[""TRAIN_Q085""]","[""swg21366662.txt""]","[""d0c17d84217fc65f3ef06d32fa08a6953856c3e3b5c28dfe38fe91ce4371395f""]",1,0,train,42,connected-component-lexicographic-milp-v1,06190ff9c1e86d1f02409342d656dd5a786a327fdcd0b85749a192510799e27b
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:094000a12113b2e44968d79d4f9e09309d8b8b3fe9543e3cde7e2aecb41d6ece,1,"[""TRAIN_Q587""]","[""swg21688071.txt""]","[""28815a32fb0de1944cf7f768d465f0bc1533837bea5411466e4c3205724ffd29""]",1,0,train,42,connected-component-lexicographic-milp-v1,8d6e5245ff8d526c8a0f6b77a7dc813a6991526310471085b801ba19e77e9a34
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:095559100e03e22221cf2c602f67f065a69a1de566a8d440da1a29cf2f6d34a2,1,"[""TRAIN_Q404""]",[],"[""e01b8eb22fd5de6c354be713e2b24072dcc5858f8c84b02401a76301c616df5a""]",0,1,train,42,connected-component-lexicographic-milp-v1,5d21dc93fbd16a1d99f2003c797dfedbffd8a181b64f211b46c23b7ae201e7f1
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:09aa5c4b8942c2d2cb417737e47d02f18032feba26d8b2661db6c88356ab6af0,1,"[""TRAIN_Q319""]","[""swg1PM66670.txt""]","[""896c29e44a3e1582e5c12a4883cea5dbdcb8b6fed464e29b631c78cee9c2a2eb""]",1,0,train,42,connected-component-lexicographic-milp-v1,0e801ed806c17fdc02f952db4c6345f5af2a6763d8e979045df54b02f8f83844
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0a373857c6c98aa1614265a02c689f7c161a75d93f4c40a9beb55f779751e131,1,"[""DEV_Q248""]",[],"[""cc3762c06721052dd487c4137248f69b994dd001f6d1995ae455eb5b331630ed""]",0,1,train,42,connected-component-lexicographic-milp-v1,1c6935bec402f5b3d65baa14bce06a28df7dd1ee882a07f4eb39bf6c360bdd45
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0a61199ff37f679865406014865de82f999357fe146b44719e578cf3d606d462,1,"[""DEV_Q197""]",[],"[""51fb6ccc1782d837b3c64686d255dabf518b2ebf358d1a228b1fdd99e5ea51e5""]",0,1,train,42,connected-component-lexicographic-milp-v1,b8ada0005a64a9dca2177415a7c811f104f26abde4b5000f7c887c589695f91d
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0a7f4e204b84352ee628ec4cfc87c6eda11099d1f3734677f0c95000c929d477,2,"[""DEV_Q175"",""DEV_Q176""]","[""swg21578744.txt""]","[""10a0821bdf9be6c843841d07c495cceebba43e1202c86459c263cd9d7c2badaf"",""edcbb5456b87a187b7b39c17a170ff8fe559c7f2886e8dd271eb81acb0399fea""]",2,0,validation,42,connected-component-lexicographic-milp-v1,d515592f387a9993c53e075cd79d9c74296fc89ad3768899caa29fcac7d0de7e
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0aa39879d9ee98a694cab4a6578ab6aa366e603c95072288b23cab5bf47ac796,2,"[""DEV_Q240"",""TRAIN_Q286""]","[""swg21986219.txt""]","[""c8e31accb75c04b2288def9bdcfa8900441a30d0643b1c6ff54494eea62a34fc""]",2,0,test,42,connected-component-lexicographic-milp-v1,09bf4ed90ec7b21442c64fda5980fcad9cba1444c0e9be76e6da70c7aa823c41
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0be0c368d4ee3512d09d19942784c44b2cb1ecc59890647439c1e83b85841770,1,"[""TRAIN_Q439""]","[""swg21982008.txt""]","[""19116c640efcc20277d9e8cfa09380dce8a485ea13bb1e0f43baa6010b0a0c4c""]",1,0,train,42,connected-component-lexicographic-milp-v1,5d0acdee5d41abf4f04ee2200fa96b75754671d2f3178a4086a28d7a5cc99889
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0c454ee12f1177fff7bb5600e48c1e3d5ccd5c5ef61c4896cf105ff9ac0b1c96,1,"[""TRAIN_Q071""]","[""swg21962862.txt""]","[""4e9c336d8a9b60b4eb0e78647104e99cf91849e71089b407e0735d361f8e40aa""]",1,0,train,42,connected-component-lexicographic-milp-v1,4bc03ae0a7b487a423d6ef7841a684062bf11310c96664031b26b0e159c004be
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0d5607e20e439857ea03eb00e9d7bc4df97c21dd6d67cab9399e5ed766810774,1,"[""DEV_Q213""]","[""swg21648471.txt""]","[""84c4e026dae9d52dea9fafb0add724e13682d8dd4cbc700253d7b90c92ae8168""]",1,0,train,42,connected-component-lexicographic-milp-v1,9bb0f6d9b195a56f74f393f5dadde48a81d2ffc312fa4cbc59ffd7756bc5130d
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0d8b13e6c7924802a7b2a5f0ea1a639bf8acf2777753d881cae8f3ba33285bd7,1,"[""TRAIN_Q287""]","[""swg27047895.txt""]","[""c729f0ee4b77f87ab66bc7d41ac19843681deacdaba25dc9e17d284af9aa159d""]",1,0,train,42,connected-component-lexicographic-milp-v1,d026fb96f7cb538a709b09c56bf07a9801577635882e2d8ce70db631f6456adc
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0db3993f36434bb8b27154f7d769fd65f4bd250badf78d2028f29fb1e288e8dd,1,"[""TRAIN_Q449""]","[""swg21983912.txt""]","[""627e2dc1d90b7bfec1cee90d76414b2b11cf75da372af6f20d0f34323d4bac82""]",1,0,train,42,connected-component-lexicographic-milp-v1,252fe541fc77d1ca1b2d68516202b0912b4add04c5a25e1359320cd50ad9a9ab
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0e1f20df06b4f1f55433b8193d6cd2ee3fca8f84dd9387eb67acc1abbc3242cc,1,"[""DEV_Q120""]","[""swg21982354.txt""]","[""d1bbcaff162b667345017f2baa531702017ca80f48a4b9585c7e52d57e3bed03""]",1,0,train,42,connected-component-lexicographic-milp-v1,cb3e63960067aeed7496a5f7f914cfe3241c51a809b9d915a2a8d925a249ae14
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0e441d474ea29b9a4c2ef3df4de1772c45fadbb38bbd5ebb872733837f78af9b,1,"[""DEV_Q212""]",[],"[""bb23d50ff752853c038fb97ae9806403fe89b34bdb9f05ecfdc2d4505fa30c19""]",0,1,train,42,connected-component-lexicographic-milp-v1,95a149dd0de3317a8a9382296961599ce9f3fdbd6c478fef073735edd08e4cd8
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0f4377e2dfd3a1559ad0d59eca1d2d4c4ebd4b9aae7786b5c50cb0f673a67ca4,1,"[""DEV_Q285""]",[],"[""cb5d0ff3fcb4c79c137b3635ba43225b82718c24c8388082c7431880df2a5448""]",0,1,validation,42,connected-component-lexicographic-milp-v1,effa199af3dc972cc3b41137f468e3c70a3ed1460d6f7284c5ce32641580db98
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0f4eb59b6b55de4a3d23b7021ade5dceb3d429c66fc022f8612226b4272b397b,1,"[""TRAIN_Q177""]",[],"[""a89521344e3cff9cd92e3e14e788e250e698f446e8828707506af99a539c8d08""]",0,1,test,42,connected-component-lexicographic-milp-v1,080639aa41a801e56f0ae8dbe217fb40668340b8c68bcfa7bb777f2725c8a3df
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0f5bcf22980b0ee2b6fbf835a823911dd213632c407aa0c25c1fe28e0543cda2,1,"[""TRAIN_Q290""]",[],"[""28b181be33b341f1a95297f46ecc82d047adf3a6c67a377534cd79a456a5833d""]",0,1,train,42,connected-component-lexicographic-milp-v1,3102b0ed42f761b923b0e29028125b5a295a6937b468da037b0e5bde09aebbef
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:0f6918a4734bc5c22c579fb4e5a2793ff972e3a3b984b1eaefb8a4c894d60cb5,1,"[""TRAIN_Q542""]",[],"[""9933ec127710c0badc88791c0980fb19033b6ea22e537bb82333bfa9b77019bf""]",0,1,test,42,connected-component-lexicographic-milp-v1,18aff9ed0b06439410e9d26593833d340a9c178f9d30cd76ecb8c5f23db7c669
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:10f28eceea0fd178f8b45f6469caf20f4338eb817bc33b793145cd812cc88a1d,1,"[""TRAIN_Q251""]",[],"[""3a18e84a3371324f348933854cf7fda7f760f0fd2d285291baa2b36df7e2a30e""]",0,1,train,42,connected-component-lexicographic-milp-v1,965fff940d1c4fd43b388ea5447a62cbd67c084656f1c832410a9f92f6aedb9b
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:110ce66acc198e9e3e5d1ad6df5e22bca3ed2f09b3f337c0715b4fc76cd28340,2,"[""TRAIN_Q049"",""TRAIN_Q584""]","[""swg22012345.txt""]","[""8689c18bf7fc88410111a54d1040c102fa09a8eaa06c53d4678070dc55475b48"",""ad7f0ec26f4b59bc3d43be110047fcc0446386db75115a44c4b4a30559e42d7a""]",2,0,validation,42,connected-component-lexicographic-milp-v1,9642ec0ec6451b4433cdf182c3d84a9d6e94eb4fa71595fba1e65a908e8302fb
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:1130079b4c69eaa1c0145ca35781aca7f013eaf49331a1a772952eab03939f27,1,"[""TRAIN_Q232""]","[""swg21967265.txt""]","[""b7f3da6923bba5c8de3a544d4b41ba88ada3ca3f7bef59c59cf593647a3bb735""]",1,0,train,42,connected-component-lexicographic-milp-v1,aedbbd21cf592c84416d9eb81aa9719a2e8b7dc7ca73378b91d6c8e43cb4b734
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:11a582611ffa56d50b26c30d6cbe206a848e76e49587e887611dbdb609bd79c4,2,"[""DEV_Q008"",""DEV_Q302""]","[""swg21412061.txt""]","[""d5397a50c41faefca92ca8c5014c130bee4bd89176036743a3d6e569b3a62e78"",""f91c54e5ea566927326c35c60c1b4ee1d155eb48de4adb7a40dc45f0274e9882""]",2,0,validation,42,connected-component-lexicographic-milp-v1,3a7312b9a8d72515cb328201535b1353c8bfed04e66fc93c08ad5b89fc1559b9
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:1218ce67ede6d869249b8a3eb2eb5236d77a4bf2cbfafb3f4eb1d6e50ed651eb,1,"[""TRAIN_Q415""]","[""swg21501900.txt""]","[""18b41f406ec015b2a78ed946af4f05bf78593bd625ab1178e184dc99bc758288""]",1,0,train,42,connected-component-lexicographic-milp-v1,34bfe1df11c39d451bd2ddfde549ed1cd83f1bf8fb8bec4cdf744dfc010b9f70
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:1232fbcec59c10f6db3709b6f8fb17c9655c61a0f5dd6de1c7ed7896d47427b1,2,"[""DEV_Q110"",""TRAIN_Q259""]","[""swg21220832.txt""]","[""4f739e931b927ae25fc012b61feb125946abe334525c5334532222c0c71d8a50"",""8b9cee7764f94db0dc401e97dd1b43b01b3f0e66d21c9bfe06fdc6b61e7597cd""]",2,0,test,42,connected-component-lexicographic-milp-v1,166c3cb2f52cbef0cb612bfff5b0e3c4531d193894d134aca171929fabfeb539
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:1237029c816ad7fa0517545c167e3f1e51f8c6ed5d088543aad8cf88690c819f,1,"[""TRAIN_Q005""]","[""swg21903536.txt""]","[""bef3ecae4ff04ef7e9a1833b2541bb9ce42435e82a30625548c4034d6a977169""]",1,0,train,42,connected-component-lexicographic-milp-v1,5915874931474da248e733b59b877dab8f4c18a31c8942c936a9feda9a79fafd
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:123fe973672c7d640cfd72e9a3e6ff8f651c97e6a2d5f76a4291dc9f8f60c939,1,"[""TRAIN_Q514""]","[""swg21318463.txt""]","[""6b969bccb8901222c419862144ca3c774b76b65d58146a23417094c2b2d28124""]",1,0,train,42,connected-component-lexicographic-milp-v1,4eb9bf82dffec60138c2e4d3b8ad9524c393780c90069f8ba7c37a1941bb84fa
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:12c3d19c57923764e3a67a29c5b33d6880bc2f839dd34395223eac0d4116d569,1,"[""TRAIN_Q412""]",[],"[""aa60e7475cbf3c2b7f2644953813d6784e5b6deb2d429a217fc857c0efb6da28""]",0,1,train,42,connected-component-lexicographic-milp-v1,cb69db5e45e1099780bf9d5a86971690e43f94a0505095ed8d1f04b78cd862e8
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:131f2ff2c47bab87aab3e82c88f463d62c8449c5d583f5cc999bcc2618997579,1,"[""TRAIN_Q545""]","[""swg21579319.txt""]","[""291a37621afe47ce2346445725ee648dcaa7952fd69bf380fb408c39b821d329""]",1,0,train,42,connected-component-lexicographic-milp-v1,893be1f1bc652cc767b1602938b98958ba2f0a8a74c7853e6629d4498cb656f6
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:138b8d46a4d52e4513717b651961af6f42e5e9808d1589276cbc7d59b6a0dd53,1,"[""TRAIN_Q526""]","[""swg27038779.txt""]","[""5c6211bb52489b0eac143c6343ea53fa3a07c4d0c004530849de7aa75d8055f5""]",1,0,train,42,connected-component-lexicographic-milp-v1,149ae110c971746e594a02569fa544a3f84278a50f163e2b54a36b243173e9c9
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:13a46bc1501204780b323ae270dc217c41fa5d7a7c89b4f44a78525d64944b90,1,"[""TRAIN_Q262""]","[""swg21981877.txt""]","[""c658b4f7535f5725c1fcd4a95be1919fbeb2f9b5d3b2243f7d6c1400da173ce6""]",1,0,train,42,connected-component-lexicographic-milp-v1,ec28c136910c176937fb7742d42d30fa529184b1446ebebfcfb2174d0ef40a62
phase01-data-v1,0b5bbc84b7f07d6d09d063130e90b716d8d4a32a,techqa-group:13b64ac4a8febf6d719504183f6b6c3a3c80d1cb6d0e19febbfe7942394e739f,1,"[""DEV_Q169""]",[],"[""919ecaa7e63e01aa6815c313d971dabc76478668dd78bf0dc52180d96d561ed1""]",0,1,train,42,connected-component-lexicographic-milp-v1,7bc72852ba03f3d9b459275e8484d12043a424dbc039e9184c3bbb230d838161
